kpi,P10,P25,P50_Median,P75,P90
net_profit_margin_pct,12.221223021582734,12.221223021582734,12.221223021582734,12.221223021582734,12.221223021582734
operating_profit_margin_pct,13.956834532374101,13.956834532374101,13.956834532374101,13.956834532374101,13.956834532374101
return_on_equity_pct,17.698769290877124,17.698769290877124,17.698769290877124,17.698769290877124,17.698769290877124
return_on_capital_employed_pct,19.85162445638271,19.85162445638271,19.85162445638271,19.85162445638271,19.85162445638271
return_on_assets_pct,10.743507648523657,10.743507648523657,10.743507648523657,10.743507648523657,10.743507648523657
debt_to_equity,0.002754732107773461,0.036309520375386824,0.314543960558751,1.0784240601173924,2.516306778075029
interest_coverage_ratio,67.15,67.15,67.15,67.15,67.15
revenue_cagr_5yr,11.193358902067896,11.193358902067896,11.193358902067896,11.193358902067896,11.193358902067896
capex_intensity_pct,2.2571942446043165,2.2571942446043165,2.2571942446043165,2.2571942446043165,2.2571942446043165
fcf_conversion_rate_pct,37.628865979381445,37.628865979381445,37.628865979381445,37.628865979381445,37.628865979381445
