company_id,metric,parsed_value,computed_value,divergence
SBILIFE,roe,14.0,23.026315789473685,9.026315789473685
SBILIFE,roe,13.0,23.026315789473685,10.026315789473685
TCS,roe,44.0,36.51740777253152,7.48259222746848
TCS,roe,47.0,36.51740777253152,10.48259222746848
INFY,roe,31.0,24.81707638048113,6.182923619518871
SBILIFE,roe,16.0,23.026315789473685,7.026315789473685
