company_id,field,value,z_score
CHOLAFIN,debt_to_equity,7.376722245574705,3.459546302061443
IRFC,debt_to_equity,7.832721266880404,3.7084931835541997
PFC,debt_to_equity,8.273331152427167,3.9490385615852017
RECLTD,debt_to_equity,6.578928037001768,3.0240006736332887
