company_id,type,rule_id,text,confidence_pct
ADANIENT,Con,C1,High Debt-to-Equity ratio of 1.67,73.4271675708875
ADANIENT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIENT,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIENT,Con,C1,High Debt-to-Equity ratio of 1.92,78.3936413977468
ADANIENT,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIGREEN,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIGREEN,Con,C1,High Debt-to-Equity ratio of 3.61,100.0
ADANIGREEN,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIGREEN,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIGREEN,Con,C1,High Debt-to-Equity ratio of 7.36,100.0
ADANIGREEN,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIGREEN,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIGREEN,Con,C1,High Debt-to-Equity ratio of 5.76,100.0
ADANIGREEN,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIGREEN,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIGREEN,Con,C1,High Debt-to-Equity ratio of 6.31,100.0
ADANIGREEN,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIGREEN,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIGREEN,Con,C1,High Debt-to-Equity ratio of 11.00,100.0
ADANIGREEN,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIGREEN,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIGREEN,Con,C1,High Debt-to-Equity ratio of 20.21,100.0
ADANIGREEN,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIGREEN,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIGREEN,Con,C1,High Debt-to-Equity ratio of 7.42,100.0
ADANIGREEN,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIGREEN,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIGREEN,Con,C1,High Debt-to-Equity ratio of 6.60,100.0
ADANIGREEN,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIGREEN,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIGREEN,Con,C1,High Debt-to-Equity ratio of 6.38,100.0
ADANIGREEN,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.82,76.34657491398187
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.48,69.6155162578437
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.65,73.02554575011612
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.65,73.08700481303221
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.27,65.34976606185096
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.07,61.40362627374061
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
ADANIPORTS,Con,C1,High Debt-to-Equity ratio of 1.14,62.740850155916625
ADANIPORTS,Con,C2,Sub-par Return on Equity (< 8%).,75.0
ADANIPORTS,Pro,P0,Stable market position within Nifty 100.,61.0
